Cities,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temperature (K),Wind Speed
Sao Miguel do Araguaia,38,BR,1569534201,29,-13.28,-50.16,307.333,3.05
Albany,90,US,1569534115,82,42.65,-73.75,290.37,2.1
Verkhnevilyuysk,17,RU,1569534306,93,63.45,120.31,271.943,2.0
Rafaela,63,AR,1569534306,25,-31.25,-61.49,300.93,1.34
Arlit,0,NE,1569534306,9,18.74,7.39,308.813,2.91
Vaini,100,IN,1569534307,95,15.34,74.49,296.673,1.39
Usvyaty,0,RU,1569534307,83,55.75,30.75,276.373,0.61
Arraial do Cabo,90,BR,1569534307,94,-22.97,-42.02,293.15,3.6
Narsaq,3,GL,1569534307,52,60.91,-46.05,281.15,2.6
Wanaka,100,NZ,1569534308,64,-44.7,169.14,284.26,2.61
Ushuaia,40,AR,1569534042,61,-54.81,-68.31,282.15,3.1
Rikitea,100,PF,1569534308,68,-23.12,-134.97,295.073,3.57
Qaanaaq,100,GL,1569534308,97,77.48,-69.36,272.113,6.48
Busselton,0,AU,1569534308,66,-33.64,115.35,284.26,6.21
Lazaro Cardenas,40,MX,1569534308,42,28.39,-105.62,301.15,3.6
Bethel,90,US,1569534309,81,60.79,-161.76,282.15,7.2
Yar-Sale,37,RU,1569534309,92,66.83,70.83,273.113,2.32
Beringovskiy,81,RU,1569534309,93,63.05,179.32,279.913,2.08
Saskylakh,91,RU,1569534310,97,71.97,114.09,272.293,2.74
Severo-Kurilsk,100,RU,1569534310,82,50.68,156.12,280.863,13.01
Punta Arenas,0,CL,1569534310,62,-53.16,-70.91,284.15,8.7
Souillac,90,FR,1569534311,88,45.6,-0.6,290.93,3.6
Nangavalli,47,IN,1569534311,93,11.76,77.89,293.943,0.63
Cabo San Lucas,5,MX,1569534311,58,22.89,-109.91,305.93,5.7
Ranfurly,100,CA,1569534311,87,53.41,-111.68,280.193,4.46
Cam Ranh,20,VN,1569534312,69,11.92,109.15,300.15,3.1
Jamestown,21,AU,1569534312,29,-33.21,138.6,285.613,3.9
Vidim,0,CZ,1569534312,77,50.47,14.53,288.71,2.6
Mayumba,100,GA,1569534312,91,-3.44,10.65,297.823,4.83
Nova Mayachka,86,UA,1569534313,84,46.6,33.23,282.963,2.67
Vanimo,44,PG,1569534313,78,-2.67,141.3,300.353,2.97
Manokwari,98,ID,1569534313,76,-0.87,134.08,295.743,2.27
Dukat,66,AL,1569534313,88,40.25,19.57,294.82,0.45
Veracruz,20,EC,1569534313,27,-3.97,-79.57,304.15,5.7
Mar del Plata,80,AR,1569534313,29,-46.43,-67.52,290.603,8.76
Gravelbourg,100,CA,1569534160,76,49.88,-106.56,281.553,4.16
Mataura,94,NZ,1569534314,92,-46.19,168.86,282.59,4.47
Oliveira dos Brejinhos,0,BR,1569534314,23,-12.32,-42.89,300.683,1.37
Bredasdorp,0,ZA,1569534314,66,-34.53,20.04,288.71,0.86
Leningradskiy,99,RU,1569534314,77,69.38,178.42,270.783,6.47
Atuona,95,PF,1569534314,74,-9.8,-139.03,299.713,7.54
Tasiilaq,44,GL,1569534315,86,65.61,-37.64,277.15,6.2
Brae,100,GB,1569534315,100,60.4,-1.35,285.15,10.3
Imbituba,40,BR,1569534315,88,-28.24,-48.67,293.15,4.6
Walvis Bay,40,NA,1569534315,93,-22.95,14.51,287.15,3.1
Hofn,100,IS,1569534315,98,64.25,-15.21,277.843,3.81
Port Alfred,0,ZA,1569534315,77,-33.59,26.89,288.71,2.16
Krasnyy Gulyay,75,RU,1569534316,75,54.03,48.33,278.15,4.0
Tyukhtet,46,RU,1569534316,82,56.54,89.31,272.223,2.07
Kahului,40,US,1569534316,58,20.89,-156.47,304.15,8.2
Saint-Philippe,1,CA,1569534316,93,45.36,-73.48,290.37,1.5
Pehowa,0,IN,1569534317,90,29.98,76.58,296.863,3.45
Kieta,0,PG,1569534317,79,-6.22,155.63,300.273,1.85
Chokurdakh,62,RU,1569534317,94,70.62,147.9,268.673,5.01
Atambua,0,ID,1569534317,76,-9.11,124.89,297.733,3.7
Asyut,0,EG,1569534317,42,27.18,31.19,301.15,2.1
Mayma,18,RU,1569534318,84,52.0,85.9,274.833,1.75
Wakkanai,0,JP,1569534318,71,45.41,141.67,288.653,3.78
Umm Bab,1,QA,1569534318,66,25.21,50.81,306.15,2.6
Lata,22,IN,1569534318,92,30.78,78.62,275.703,0.92
Yellowknife,75,CA,1569534318,64,62.45,-114.38,276.15,6.7
Qesarya,0,IL,1569534318,78,32.52,34.9,298.15,2.1
Bella Vista,0,AR,1569534319,19,-27.03,-65.31,306.15,8.7
Kavaratti,100,IN,1569534319,82,10.57,72.64,299.873,7.3
Hamilton,75,CA,1569534224,45,43.26,-79.87,294.26,7.2
Mahajanga,0,MG,1569534319,69,-15.72,46.32,297.15,0.5
Hilo,40,US,1569534319,62,19.71,-155.08,304.15,4.1
Kavieng,18,PG,1569534320,74,-2.57,150.8,302.053,5.57
Geraldton,75,CA,1569534189,50,49.72,-86.95,286.15,6.2
Coos Bay,75,US,1569534230,77,43.37,-124.22,297.59,5.1
San Patricio,0,PY,1569534320,50,-26.98,-56.83,296.473,2.2
Ventnor City,40,US,1569534320,74,39.34,-74.48,299.82,6.7
Lufilufi,100,WS,1569534320,94,-13.87,-171.6,298.15,6.88
Yulara,2,AU,1569534321,50,-25.24,130.99,286.15,1.5
Hermanus,0,ZA,1569534321,57,-34.42,19.24,294.26,1.34
Khatanga,100,RU,1569534321,97,71.98,102.47,273.523,4.24
Dikson,100,RU,1569534321,92,73.51,80.55,274.793,3.7
Mahebourg,40,MU,1569534322,88,-20.41,57.7,296.15,3.1
Namatanai,53,PG,1569534322,78,-3.66,152.44,299.653,3.78
Darhan,24,MN,1569534322,88,49.49,105.92,283.253,0.86
Kodiak,1,US,1569534322,38,39.95,-94.76,298.15,3.6
Anori,83,BR,1569534323,55,-3.74,-61.66,304.283,2.92
Gigmoto,67,PH,1569534323,74,13.78,124.39,300.723,1.8
Rehoboth,16,NA,1569534323,21,-23.31,17.08,286.973,6.19
Hobart,75,AU,1569534312,54,-42.88,147.33,287.59,3.6
Sao Gabriel da Cachoeira,100,BR,1569534323,59,-0.13,-67.09,304.593,0.84
Muros,75,ES,1569534324,93,42.77,-9.06,292.04,3.1
Sao Joao da Barra,90,BR,1569534324,94,-21.64,-41.05,293.15,0.78
Longyearbyen,100,NO,1569534324,97,78.22,15.63,275.293,4.09
Nikolayevka,96,RU,1569534324,82,46.73,38.57,287.133,6.98
Synya,100,RU,1569534325,98,65.37,58.04,274.763,1.32
Krasnovishersk,100,RU,1569534325,97,60.4,57.08,273.453,3.71
Zhanakorgan,100,KZ,1569534325,25,43.91,67.25,291.513,3.84
Georgetown,20,GY,1569534175,74,6.8,-58.16,302.15,4.1
Udachnyy,90,RU,1569534325,84,66.42,112.4,273.15,2.0
Itoman,20,JP,1569534326,88,26.12,127.67,300.15,3.1
Rio Gallegos,0,AR,1569534326,30,-51.62,-69.22,286.15,1.5
Hithadhoo,100,MV,1569534326,80,-0.6,73.08,300.833,9.46
Zeya,0,RU,1569534326,95,53.74,127.27,277.113,1.22
Gamba,100,CN,1569534326,63,28.28,88.52,276.233,1.36
Komsomolskiy,95,RU,1569534327,96,67.55,63.78,272.253,2.49
Riyadh,0,SA,1569534327,37,24.63,46.72,302.15,1.0
Ostrovnoy,83,RU,1569534327,90,68.05,39.51,276.263,5.34
Dawei,100,MM,1569534327,77,14.07,98.19,300.303,4.33
Tuktoyaktuk,75,CA,1569534327,86,69.44,-133.03,276.15,10.8
Butaritari,43,KI,1569534328,74,3.07,172.79,301.873,5.25
Bubaque,30,GW,1569534328,77,11.28,-15.83,300.973,3.53
Rome,0,IT,1569533860,88,41.89,12.48,294.26,2.1
Cape Town,0,ZA,1569534134,72,-33.93,18.42,296.48,1.5
San Carlos de Bariloche,100,AR,1569534328,35,-41.13,-71.31,290.93,0.45
Liepaja,0,LV,1569534329,100,56.52,21.02,283.15,1.5
Kununurra,75,AU,1569534329,83,-15.77,128.74,295.15,1.5
Sobolevo,2,RU,1569534329,76,54.43,31.9,277.483,1.83
Cardston,1,CA,1569534329,50,49.2,-113.32,290.15,11.3
Yagodnoye,0,RU,1569534330,67,62.52,149.63,267.693,1.16
Kapaa,40,US,1569534330,74,22.08,-159.32,303.15,6.7
Barrow,0,AR,1569534330,55,-38.31,-60.23,287.863,6.06
Puerto Ayora,75,EC,1569534139,65,-0.74,-90.35,298.15,6.7
Teya,75,MX,1569534330,66,21.05,-89.07,306.15,4.1
Kaitangata,86,NZ,1569534330,58,-46.28,169.85,285.37,4.47
Tual,93,ID,1569534331,85,-5.67,132.75,298.803,9.11
Spisska Nova Ves,20,SK,1569534331,93,48.94,20.56,284.82,2.6
College,90,US,1569534331,86,64.86,-147.8,279.26,2.6
San Vicente,75,EC,1569534331,74,-0.59,-80.41,299.15,4.1
Tambovka,73,RU,1569534332,48,47.32,47.38,281.713,2.02
Abalak,0,NE,1569534332,18,15.46,6.28,307.023,0.77
Dingle,2,PH,1569534332,90,11.0,122.67,295.983,1.4
Seminole,1,US,1569534332,24,32.72,-102.64,307.59,2.6
Lerwick,100,GB,1569534332,100,60.15,-1.15,285.15,2.6
Ahuimanu,40,US,1569534333,66,21.44,-157.84,302.59,4.1
Lagoa,0,PT,1569534333,68,37.14,-8.45,294.82,3.1
Santa Rosa,42,AR,1569534333,25,-36.62,-64.29,301.163,6.72
Juneau,75,US,1569534033,81,58.3,-134.42,283.15,4.6
Avarua,37,CK,1569534333,83,-21.21,-159.78,298.15,2.6
Carnarvon,0,ZA,1569534333,20,-30.97,22.13,286.553,1.72
Hay River,90,CA,1569534334,80,60.82,-115.79,278.15,2.1
Shimoda,0,JP,1569534334,94,34.7,138.93,293.71,2.24
Bluff,7,AU,1569534334,86,-23.58,149.07,289.703,4.89
Bathsheba,20,BB,1569534334,62,13.22,-59.52,303.15,5.1
Kondagaon,93,IN,1569534334,98,19.59,81.66,293.523,1.07
Rocha,0,UY,1569534335,73,-34.48,-54.34,287.153,2.83
Beloha,82,MG,1569534335,78,-25.17,45.06,292.853,8.97
Sur,79,OM,1569534335,63,22.57,59.53,301.393,3.13
Omsukchan,100,RU,1569534335,85,62.53,155.8,267.133,2.35
Westport,90,US,1569534336,100,41.14,-73.36,293.15,6.7
Lodi,21,IT,1569534336,93,45.31,9.5,293.15,2.1
Tuatapere,97,NZ,1569534336,92,-46.13,167.69,282.59,4.47
Stade,75,DE,1569534336,93,53.6,9.48,289.26,5.1
Sitka,100,US,1569534336,73,37.17,-99.65,294.82,2.68
Natal,20,BR,1569534053,78,-5.81,-35.21,299.15,6.2
Orchard Homes,90,US,1569534157,71,46.86,-114.05,288.15,2.6
Galveston,1,US,1569534224,35,40.58,-86.19,296.48,2.1
Kidal,0,ML,1569534337,8,18.44,1.41,306.853,4.06
Kruisfontein,0,ZA,1569534337,23,-34.0,24.73,290.863,2.25
Los Llanos de Aridane,90,ES,1569534337,83,28.66,-17.92,296.15,3.6
Quatre Cocos,40,MU,1569534337,88,-20.21,57.76,296.15,3.1
Hailar,89,CN,1569534338,34,49.2,119.7,288.163,4.19
Upernavik,100,GL,1569534338,57,72.79,-56.15,277.013,2.55
Codrington,90,AU,1569534338,93,-28.95,153.24,291.48,2.12
Huambo,96,AO,1569534338,41,-12.78,15.73,293.683,1.19
Vila Franca do Campo,75,PT,1569534338,94,37.72,-25.43,295.15,3.6
Cidreira,0,BR,1569534339,76,-30.17,-50.22,292.403,2.71
Petropavlovsk-Kamchatskiy,95,RU,1569534339,73,53.05,158.65,283.15,6.0
Kurumkan,100,RU,1569534339,92,54.33,110.32,275.923,0.16
Choix,0,MX,1569534339,44,26.71,-108.33,304.083,2.45
Dwarka,40,IN,1569534339,83,28.58,77.04,301.48,3.6
Provideniya,90,RU,1569534340,93,64.42,-173.23,281.15,8.0
Vao,7,EE,1569534340,93,59.1,26.19,280.033,2.17
Sabzevar,0,IR,1569534340,11,36.21,57.68,293.683,3.57
Srednekolymsk,100,RU,1569534340,81,67.46,153.71,270.133,2.72
Niquelandia,80,BR,1569534340,29,-14.47,-48.46,303.543,3.92
Kizukuri,56,JP,1569534341,71,40.81,140.39,291.48,0.89
Sovetskiy,96,RU,1569534341,89,56.76,48.47,276.003,3.91
Nishihara,1,JP,1569534341,93,35.74,139.53,294.82,0.6
Lorengau,17,PG,1569534341,82,-2.02,147.27,300.163,3.7
Saint George,20,GR,1569534341,88,39.45,22.34,293.15,2.71
Bandarbeyla,35,SO,1569534341,73,9.49,50.81,297.953,7.9
Raton,1,US,1569534342,20,36.9,-104.44,304.26,3.1
Myrtle Beach,1,US,1569534141,69,33.7,-78.89,304.15,4.1
Sabya,0,SA,1569534342,75,17.15,42.62,305.15,1.5
Kupang,0,ID,1569534342,76,-10.16,123.6,297.083,4.04
Lasa,0,CY,1569534342,83,34.92,32.53,297.15,3.1
Bartica,40,GY,1569534342,94,6.41,-58.62,297.15,6.2
Shingu,26,JP,1569534343,97,33.72,135.99,290.883,2.06
Bambous Virieux,40,MU,1569534343,88,-20.34,57.76,296.15,3.1
Abu Samrah,0,SY,1569534343,81,35.3,37.18,292.473,3.03
Basco,1,US,1569534343,40,40.33,-91.2,297.59,1.5
Half Moon Bay,1,US,1569534344,68,37.46,-122.43,302.04,8.2
Iqaluit,20,CA,1569534342,80,63.75,-68.52,277.15,4.1
Portobelo,40,PA,1569534344,78,9.55,-79.65,302.04,4.6
Hasaki,20,JP,1569534344,100,35.73,140.83,289.26,0.5
Ambajogai,100,IN,1569534344,87,18.73,76.39,296.593,5.85
Parana,20,BR,1569534345,46,-7.52,-72.89,307.15,1.0
Cedar City,20,US,1569534068,27,37.68,-113.06,298.15,5.7
Lebu,26,ET,1569534345,80,8.96,38.73,285.403,2.06
Pangnirtung,20,CA,1569534345,28,66.15,-65.72,287.15,5.7
Turka,34,RU,1569534345,87,52.95,108.22,283.943,1.89
Port Lincoln,4,AU,1569534345,83,-34.72,135.86,286.693,9.21
Lahaina,20,US,1569534346,55,20.87,-156.68,305.15,3.1
Esperance,90,AU,1569534346,100,-33.86,121.89,284.15,2.1
Chuy,54,UY,1569534346,69,-33.69,-53.46,287.543,3.97
Soyo,7,AO,1569534346,86,-6.13,12.37,297.543,2.73
Belmonte,0,PT,1569534346,89,40.36,-7.35,288.15,1.21
San Rafael,15,AR,1569534347,16,-34.61,-68.33,301.903,7.78
Nome,1,US,1569534347,49,30.04,-94.42,305.37,1.62
Luderitz,100,NA,1569534347,38,-26.65,15.16,296.15,2.6
Labuhan,100,ID,1569534347,95,-2.54,115.51,294.703,0.6
Puerto El Triunfo,75,SV,1569534347,74,13.27,-88.55,303.15,4.1
Soe,0,EE,1569534347,93,57.91,26.05,276.48,1.0
Sheltozero,100,RU,1569534348,90,61.37,35.37,279.933,3.24
Magdagachi,13,RU,1569534348,98,53.45,125.8,279.843,3.37
Sarila,100,IN,1569534348,91,25.77,79.68,298.053,3.61
Nikolskoye,90,RU,1569534348,81,59.7,30.79,282.04,2.0
Majene,100,ID,1569534348,80,-3.54,118.97,300.223,10.23
Ribeira Grande,0,PT,1569534349,88,38.52,-28.7,295.673,4.57
Strezhevoy,0,RU,1569534349,95,60.73,77.6,276.15,4.0
Snezhnogorsk,75,RU,1569534349,93,69.19,33.23,278.15,1.0
Corsicana,1,US,1569534168,36,32.09,-96.46,308.15,2.1
Ithaca,40,US,1569534124,68,42.44,-76.5,293.71,2.1
Thompson,75,CA,1569534286,48,55.74,-97.86,279.15,5.7
Torbay,90,CA,1569534350,100,47.66,-52.73,284.82,7.2
Saint-Georges,100,CA,1569534350,97,46.12,-70.67,285.93,4.17
Mirante do Paranapanema,20,BR,1569534350,44,-22.29,-51.91,298.15,1.0
Luganville,75,VU,1569534350,83,-15.51,167.18,298.15,6.2
Concordia,5,AR,1569534350,33,-31.4,-58.02,301.48,3.13
Ueno,1,JP,1569534350,93,36.07,138.76,292.59,0.93
Port Macquarie,40,AU,1569534250,100,-31.43,152.91,288.15,2.6
Gat,20,SN,1569534351,83,14.69,-16.54,302.15,3.6
Xinzhi,40,TW,1569534351,83,22.54,120.62,298.71,1.0
Cherskiy,99,RU,1569534351,54,68.75,161.3,272.443,1.94
Klaksvik,100,FO,1569534351,87,62.23,-6.59,285.15,12.3
Sola,41,TZ,1569534352,52,-3.17,33.8,295.773,2.79
Zvishavane,19,ZW,1569534352,70,-20.32,30.05,283.623,4.56
Kallaste,0,EE,1569534352,93,58.66,27.16,276.48,1.41
Vardo,20,US,1569534352,37,39.62,-77.74,301.48,5.7
Nabire,100,ID,1569534352,99,-3.36,135.5,294.303,1.15
Emerald,0,AU,1569534353,82,-23.53,148.16,291.15,3.1
Harlingen,20,NL,1569534057,93,53.18,5.41,290.37,7.7
Barahona,40,DO,1569534353,79,18.21,-71.1,303.15,4.1
Salalah,40,OM,1569534353,83,17.01,54.1,300.15,1.5
Naze,75,NG,1569534353,94,5.43,7.07,298.15,2.49
Isangel,75,VU,1569534353,73,-19.55,169.27,296.15,3.1
Dicabisagan,52,PH,1569534354,96,17.08,122.42,295.713,0.9
Estelle,0,FR,1569534354,53,43.97,3.47,296.15,6.2
Laguna,40,BZ,1569534354,63,16.17,-88.94,306.15,3.1
Port Elizabeth,90,US,1569534354,74,39.31,-74.98,301.48,2.6
Hastings,34,NZ,1569534027,63,-39.64,176.84,286.093,7.28
Castro,0,CL,1569534355,39,-42.48,-73.76,291.15,3.1
New Norfolk,75,AU,1569534355,54,-42.78,147.06,288.71,3.6
Vanavara,96,RU,1569534355,79,60.35,102.28,273.583,1.04
Koumac,82,NC,1569534355,75,-20.56,164.28,294.493,2.9
Tevriz,0,RU,1569534355,95,57.51,72.4,273.443,2.5
Denia,0,ES,1569534355,61,38.84,0.11,298.71,7.15
Skibbereen,20,IE,1569534356,87,51.55,-9.27,285.15,5.7
Ponta do Sol,100,BR,1569534356,97,-20.63,-46.0,290.273,1.55
Shenyang,0,CN,1569534356,100,41.8,123.43,286.15,2.0
Lamu,0,CN,1569534356,57,35.77,102.37,279.473,0.63
Cadereyta,40,MX,1569534357,52,25.58,-99.98,306.15,3.6
West Wendover,1,US,1569534357,25,40.74,-114.07,296.15,2.6
Nytva,0,RU,1569534357,88,57.94,55.33,276.15,6.0
Mount Gambier,90,AU,1569534246,87,-37.83,140.78,286.15,4.1
Ngunguru,0,NZ,1569534357,75,-35.62,174.5,287.04,4.92
Clyde River,20,CA,1569534357,93,70.47,-68.59,277.15,4.6
Zatoka,20,PL,1569534358,87,50.04,20.52,287.59,2.6
Pevek,33,RU,1569534358,70,69.7,170.27,273.443,4.16
San-Pedro,61,CI,1569534358,98,4.75,-6.64,295.663,1.34
