Cities,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temperature (K),Wind Speed
Norman Wells,75,CA,1569534358,81,65.28,-126.83,278.15,6.2
Valparaiso,1,US,1569534350,37,41.47,-87.06,296.48,2.1
Masalli,75,KR,1569534359,100,34.8,126.66,291.15,2.1
Skagen,82,SE,1569534359,87,58.6,13.44,284.15,2.6
Nouadhibou,0,MR,1569534359,78,20.93,-17.03,295.15,7.7
Arteaga,40,MX,1569534359,42,25.45,-100.85,302.04,4.1
Harper,1,US,1569534360,30,30.3,-99.24,309.26,4.1
Le Port,0,FR,1569534360,82,42.87,1.37,291.48,2.24
Sangar,0,RU,1569534360,92,63.92,127.47,274.563,4.36
Rassvet,0,RU,1569534360,47,49.11,45.47,282.653,2.5
Hobyo,13,SO,1569534361,80,5.35,48.53,298.073,9.91
Khasan,100,RU,1569534361,91,42.43,130.64,285.993,1.02
San Cristobal,81,HN,1569534361,78,14.68,-86.92,299.263,2.49
Winslow,75,GB,1569534361,87,51.94,-0.88,287.59,5.7
Novovoronezh,75,RU,1569534362,50,51.31,39.22,284.15,3.0
Tecpan,40,GT,1569534362,54,14.76,-90.99,299.15,2.1
La Ronge,75,CA,1569534362,46,55.1,-105.3,283.15,5.7
Pochinok,2,RU,1569534362,75,54.4,32.44,277.473,2.17
Saucillo,0,MX,1569534363,34,28.03,-105.29,303.393,3.3
Galle,100,GN,1569534363,96,10.08,-12.83,295.043,0.89
Coolum Beach,6,AU,1569534363,73,-26.53,153.09,294.26,0.45
Presidente Epitacio,0,BR,1569534363,46,-21.76,-52.12,299.033,2.96
Ilulissat,20,GL,1569534364,26,69.22,-51.1,279.15,8.2
Humberto de Campos,0,BR,1569534364,78,-2.6,-43.46,299.163,2.7
Fort Nelson,90,CA,1569534364,93,58.81,-122.69,275.15,5.1
Santiago Tuxtla,32,MX,1569534365,75,18.47,-95.3,302.59,5.36
Igarka,90,RU,1569534365,97,67.47,86.57,273.013,5.04
Angoche,0,MZ,1569534365,75,-16.23,39.91,293.463,3.47
Camacupa,76,AO,1569534365,43,-12.02,17.48,291.643,1.35
Paranaiba,100,BR,1569534365,72,-19.68,-51.19,296.553,1.76
Nova Olinda do Norte,100,BR,1569534365,42,-3.89,-59.1,307.513,0.46
Tessalit,0,ML,1569534366,8,20.2,1.01,306.153,4.58
Xixiang,0,CN,1569534366,78,22.58,113.87,300.37,2.0
Entre Rios,73,BR,1569534366,74,-11.94,-38.08,295.153,3.48
Tuburan,20,PH,1569534366,83,10.73,123.82,300.15,1.5
East London,0,ZA,1569534366,25,-33.02,27.91,292.033,3.07
Bundaberg,75,AU,1569534367,82,-24.87,152.35,293.71,3.1
Kuito,57,AO,1569534367,46,-12.38,16.94,289.933,1.75
Rabo de Peixe,75,PT,1569534367,94,37.8,-25.58,295.15,3.6
Along,18,IN,1569534367,95,28.17,94.8,285.043,1.32
Hibbing,1,US,1569534178,55,47.43,-92.94,290.15,4.1
Alofi,40,NU,1569534367,69,-19.06,-169.92,298.15,6.7
Kampot,75,KH,1569534368,94,10.62,104.18,299.15,2.1
Tiksi,100,RU,1569534368,93,71.64,128.87,274.723,1.16
Bontang,43,ID,1569534368,97,0.12,117.47,295.893,0.25
Artyom,90,RU,1569534368,100,43.36,132.19,286.15,2.0
Nanortalik,0,GL,1569534368,77,60.14,-45.24,279.013,0.36
Port Augusta,1,AU,1569534369,53,-32.49,137.76,288.71,4.1
Mehamn,75,NO,1569534369,100,71.03,27.85,281.15,3.6
Fortuna,20,US,1569534369,68,40.6,-124.16,298.15,7.2
Makokou,37,GA,1569534369,96,0.56,12.85,294.773,1.46
Faanui,76,PF,1569534369,78,-16.48,-151.75,299.663,8.13
Richards Bay,0,ZA,1569534370,66,-28.77,32.06,290.443,6.1
Port-Gentil,75,GA,1569534370,88,-0.72,8.78,299.15,4.1
Sari,75,IR,1569534370,93,36.57,53.06,292.15,1.0
Constitucion,75,MX,1569534370,35,23.99,-104.67,298.15,2.1
Aklavik,75,CA,1569534370,60,68.22,-135.01,277.15,3.1
Havelock,1,US,1569534095,62,34.88,-76.9,303.71,7.7
Lokosovo,86,RU,1569534371,96,61.13,74.84,272.713,5.12
Mirabad,0,IR,1569534371,73,28.27,61.33,289.283,1.2
El Penon,20,MX,1569534371,59,20.26,-97.43,307.15,4.1
Poopo,27,BO,1569534371,37,-18.38,-66.97,286.833,2.39
Margate,75,AU,1569534371,54,-43.03,147.26,288.71,3.6
San Luis,11,AR,1569534372,14,-33.3,-66.34,305.473,4.3
Mount Vernon,90,US,1569534372,51,38.73,-77.1,302.15,3.1
Taketa,75,JP,1569534372,69,32.97,131.38,299.15,3.1
Vestmannaeyjar,99,IS,1569534372,91,63.44,-20.27,283.743,1.57
Zaozhuang,0,CN,1569534372,90,34.86,117.55,289.053,1.05
Batemans Bay,0,AU,1569534373,74,-35.71,150.18,285.37,2.68
Andradina,37,BR,1569534373,51,-20.89,-51.38,298.923,2.11
Flin Flon,75,CA,1569534373,70,54.77,-101.88,280.15,5.1
Pirovskoye,0,RU,1569534373,96,57.63,92.27,271.193,2.26
Saint-Pierre,75,FR,1569534373,82,48.95,4.24,292.15,9.3
Mazyr,54,BY,1569534374,97,52.05,29.27,280.523,1.64
Waddan,0,LY,1569534374,54,29.16,16.14,299.173,6.01
Great Yarmouth,29,GB,1569534374,82,52.61,1.73,288.71,4.6
Borovnica,75,BA,1569534374,100,44.38,18.19,285.15,0.5
Borogontsy,57,RU,1569534374,88,62.67,131.17,276.713,4.9
Kargopol,100,RU,1569534375,97,61.51,38.95,276.863,1.85
Grindavik,75,IS,1569534375,87,63.84,-22.43,288.15,2.1
Carauari,76,BR,1569534375,39,-4.88,-66.9,308.153,0.47
Carnduff,100,CA,1569534375,94,49.17,-101.8,282.04,3.13
Samarai,100,PG,1569534375,94,-10.62,150.67,296.843,2.46
Yinchuan,0,CN,1569534375,52,38.48,106.21,288.683,0.83
Pitimbu,0,BR,1569534376,83,-7.47,-34.81,297.15,3.6
Lebowakgomo,0,ZA,1569534376,37,-24.3,29.54,283.15,2.1
San Jose,40,HN,1569534376,49,14.25,-87.96,306.15,4.6
Jilib,72,SO,1569534376,76,0.49,42.79,298.163,2.6
Chicama,75,PE,1569534376,82,-7.84,-79.15,290.15,6.7
Thaba Nchu,0,ZA,1569534377,34,-29.2,26.83,283.15,1.0
Tondano,20,ID,1569534377,94,1.3,124.91,295.15,1.5
Fairbanks,90,US,1569534093,86,64.84,-147.72,278.15,2.6
Namibe,56,AO,1569534377,87,-15.19,12.15,293.113,3.71
Madang,0,CN,1569534377,74,35.32,102.79,272.303,0.68
Vila Velha,0,BR,1569534296,69,-3.71,-38.6,300.15,5.7
Nelson,2,CA,1569534378,79,49.49,-117.29,288.71,2.79
Motygino,100,RU,1569534378,88,58.18,94.69,273.033,4.07
Qaqortoq,3,GL,1569534378,52,60.72,-46.03,281.15,2.6
Baturaja,93,ID,1569534378,80,-4.12,104.17,295.113,1.27
Bolshoye Selo,27,RU,1569534379,94,57.72,38.93,275.033,2.23
Genhe,63,CN,1569534379,85,50.78,121.52,280.573,1.39
Buraydah,0,SA,1569534384,23,26.33,43.97,302.15,3.1
Micheweni,60,TZ,1569534384,78,-4.97,39.83,299.233,9.18
Hervey Bay,75,AU,1569534384,82,-25.3,152.85,293.71,3.1
Tautira,20,PF,1569534385,66,-17.73,-149.15,302.15,5.1
Svolvaer,0,NO,1569534385,100,68.23,14.57,283.15,3.43
Afikpo,6,NG,1569534385,96,5.88,7.92,296.673,1.68
Khani,40,GE,1569534385,93,41.96,42.96,290.15,2.6
Pirapozinho,20,BR,1569534202,44,-22.27,-51.5,298.15,1.0
Meulaboh,97,ID,1569534386,85,4.14,96.13,299.673,4.21
Quang Ngai,10,VN,1569534386,98,15.12,108.8,292.153,1.24
Lipin Bor,97,RU,1569534386,97,60.26,37.97,276.603,1.85
Auki,100,NG,1569534386,52,12.18,6.51,301.563,2.86
Adre,100,TD,1569534386,64,13.47,22.2,299.013,7.91
Igualada,20,ES,1569534386,88,41.58,1.62,296.48,2.6
Portland,90,US,1569534321,82,43.66,-70.25,292.15,2.6
Oktyabrskiy,0,RU,1569534387,80,55.61,37.97,279.26,1.0
Opuwo,0,NA,1569534387,25,-18.06,13.84,296.593,4.96
Ordzhonikidze,22,UA,1569534387,90,44.96,35.36,282.813,0.58
Kudeyevskiy,40,RU,1569534387,86,54.87,56.75,276.15,3.0
Mirnyy,53,RU,1569534387,89,56.57,36.46,276.473,1.64
Turkan,0,AF,1569534388,32,35.6,68.92,286.433,2.76
Bilma,0,NE,1569534388,12,18.69,12.92,305.973,2.11
Zykovo,77,RU,1569534388,76,55.24,40.35,273.15,0.45
Ancud,0,CL,1569534388,39,-41.87,-73.83,291.15,3.1
Abu Zabad,100,SD,1569534388,79,12.35,29.25,297.943,5.12
Sorland,0,NO,1569534388,100,67.67,12.69,278.15,4.12
San Policarpo,99,PH,1569534389,90,12.18,125.51,297.903,2.42
Mahon,20,IE,1569534389,87,51.89,-8.4,285.37,5.7
Bila Krynytsya,89,UA,1569534389,100,50.64,29.47,284.82,2.0
Sibu,75,MY,1569534389,100,2.29,111.83,297.15,1.0
Victoria,75,BN,1569534296,88,5.28,115.24,300.15,0.5
Anloga,20,GH,1569534389,88,5.79,0.9,299.15,4.6
Hecun,3,CN,1569534390,93,29.94,119.31,288.163,0.96
Coahuayana,87,MX,1569534390,74,18.62,-100.35,302.253,0.85
Inhambane,34,MZ,1569534390,76,-23.87,35.38,289.013,2.64
Port Hedland,0,AU,1569534390,100,-20.31,118.58,291.15,2.6
Kodinar,100,IN,1569534390,88,20.79,70.7,299.003,1.63
Te Anau,100,NZ,1569534390,87,-45.41,167.72,278.873,2.3
Preobrazheniye,49,RU,1569534391,81,42.9,133.91,285.313,0.97
Kysyl-Syr,19,RU,1569534391,92,63.9,122.77,272.543,2.52
Blyth,20,GB,1569534391,87,55.12,-1.5,287.04,3.6
Touros,20,BR,1569534391,73,-5.2,-35.46,298.15,4.1
Atar,0,MR,1569534392,8,20.52,-13.05,310.923,3.84
Kimbe,0,PG,1569534392,89,-5.56,150.15,297.463,0.59
Mount Isa,0,AU,1569534392,33,-20.73,139.49,295.15,4.1
Verkhoyansk,100,RU,1569534392,93,67.55,133.39,273.663,1.81
Comandau,100,RO,1569534392,89,45.77,26.27,285.93,2.38
Coquimbo,75,CL,1569534358,76,-29.95,-71.34,286.15,5.1
Alexandria,0,RO,1569534393,80,43.97,25.33,289.82,0.45
Port Pirie,43,AU,1569534393,53,-33.18,138.01,284.15,4.1
Olinda,98,AU,1569534393,62,-37.84,145.39,288.71,9.8
Saint Anthony,1,US,1569534393,25,43.97,-111.68,294.15,8.7
Dukhovshchina,0,RU,1569534393,79,55.19,32.41,276.343,1.07
Sao Filipe,0,CV,1569534394,83,14.9,-24.5,298.613,7.13
Ponta Delgada,75,PT,1569534394,94,37.73,-25.67,295.15,3.6
Paraiba do Sul,100,BR,1569534394,87,-22.16,-43.29,292.04,0.65
Mitsamiouli,0,KM,1569534394,76,-11.38,43.28,298.283,11.38
Mingaora,9,PK,1569534394,79,34.78,72.36,290.723,1.97
Tabou,98,CI,1569534395,91,4.42,-7.36,297.543,2.19
Shawville,17,CA,1569534395,73,45.61,-76.49,290.37,2.94
Lieksa,99,FI,1569534395,95,63.32,30.02,278.513,1.03
The Valley,20,AI,1569534173,70,18.22,-63.06,304.15,3.1
Shambu,52,ET,1569534395,86,9.57,37.1,287.073,1.25
Oistins,20,BB,1569534395,62,13.07,-59.53,303.15,5.1
Hambantota,100,LK,1569534396,77,6.12,81.12,300.383,2.98
Puerto Escondido,75,MX,1569534396,70,15.86,-97.07,304.15,2.6
Baiquan,0,CN,1569534396,91,47.61,126.08,286.643,5.67
Cheyenne,1,US,1569534362,12,41.14,-104.82,302.15,9.3
Kosh-Agach,9,RU,1569534396,82,49.99,88.66,272.673,0.33
Simi,100,SL,1569534397,97,9.57,-12.35,296.553,2.69
Mayo,75,CA,1569534397,50,63.59,-135.9,281.15,1.0
Svetlogorsk,40,RU,1569534397,77,53.14,59.15,273.15,3.0
Roald,0,NO,1569534397,51,62.58,6.12,288.15,7.7
Tupaciguara,40,BR,1569534220,93,-18.59,-48.7,291.15,1.5
Chara,20,GR,1569534397,88,39.42,22.43,293.15,2.71
Yerbogachen,52,RU,1569534398,82,61.28,108.01,272.473,1.9
Araouane,0,ML,1569534398,10,18.9,-3.53,309.663,2.05
Reitz,0,ZA,1569534295,25,-27.8,28.43,278.633,3.09
Guerrero Negro,29,MX,1569534398,74,27.97,-114.04,293.083,4.28
Kemin,0,KG,1569534399,38,42.79,75.7,286.883,2.13
Shieli,100,KZ,1569534399,30,44.18,66.74,291.713,2.21
Broome,29,GB,1569534399,82,52.47,1.45,288.71,4.6
Dudinka,40,RU,1569534399,96,69.41,86.18,273.15,3.0
Mandalgovi,100,MN,1569534400,25,45.76,106.27,289.223,7.24
Chapais,75,CA,1569534400,81,49.78,-74.86,283.15,6.7
Nanhai,0,CN,1569534400,75,30.13,111.78,293.15,1.13
Copiapo,0,CL,1569534400,59,-27.37,-70.33,289.15,5.1
Felipe Carrillo Puerto,100,MX,1569534401,97,19.58,-88.05,298.743,1.5
Peniche,0,PT,1569534401,72,39.36,-9.38,291.15,7.7
Galesong,20,ID,1569534401,88,-5.32,119.37,294.15,0.5
Lisieux,75,FR,1569534111,93,49.15,0.23,289.15,4.6
Nizhniy Kuranakh,23,RU,1569534401,94,58.84,125.49,277.033,1.05
Sambava,0,MG,1569534401,84,-14.27,50.17,291.713,1.43
Pirgos,20,GR,1569534402,88,35.12,25.72,294.82,3.1
Macheng,1,CN,1569534402,54,31.18,115.03,290.563,0.89
Kaeo,22,NZ,1569534402,93,-35.1,173.78,289.82,4.99
Camacha,20,PT,1569534402,68,33.08,-16.33,295.15,2.6
Martapura,100,ID,1569534402,87,-3.41,114.85,297.533,1.96
Bahia Blanca,37,AR,1569534403,61,-38.72,-62.27,286.213,10.07
Challapata,0,BO,1569534403,47,-18.9,-66.78,285.583,4.17
Kaoma,0,ZM,1569534403,43,-14.8,24.8,291.613,5.34
Asbury Park,90,US,1569534403,30,33.46,-86.74,308.15,2.1
Englewood,75,US,1569534404,12,39.65,-104.99,304.15,2.1
Uruzgan,0,AF,1569534407,24,32.93,66.63,283.153,1.83
Acapulco,40,MX,1569534350,70,16.86,-99.88,304.15,3.6
Sol-Iletsk,0,RU,1569534408,64,51.16,55.0,277.083,2.36
Madimba,75,CM,1569534408,100,4.42,9.93,299.15,1.0
Oktyabrskoye,0,RU,1569534408,74,56.73,85.44,275.93,3.0
Ivybridge,20,GB,1569534409,82,50.39,-3.92,288.71,5.1
Moses Lake,20,US,1569534409,30,47.13,-119.28,300.15,3.1
Pisco,20,PE,1569534409,30,-13.71,-76.2,295.15,5.1
Port Blair,100,IN,1569534138,80,11.67,92.75,300.693,3.9
Cayenne,0,GF,1569534409,70,4.94,-52.33,303.15,4.1
Dingtao,3,CN,1569534410,65,35.07,115.56,291.993,2.53
Lompoc,1,US,1569534410,50,34.64,-120.46,300.15,4.6
Hami,19,CN,1569534410,24,42.84,93.51,294.993,5.51
Kaa-Khem,92,RU,1569534410,76,51.7,94.56,276.473,2.28
Kamariotissa,20,GR,1569534410,94,40.48,25.47,293.15,1.0
Aksarka,76,RU,1569534410,88,66.56,67.8,272.373,1.51
Usinsk,75,RU,1569534411,97,66.0,57.56,274.023,2.77
San Quintin,0,PH,1569534411,88,17.54,120.52,296.263,1.33
Xingyi,0,CN,1569534411,96,24.19,102.82,282.343,1.0
Palencia,5,ES,1569534411,43,42.01,-4.53,292.59,0.45
Issoire,0,FR,1569534411,76,45.54,3.25,287.15,1.0
Nhulunbuy,13,AU,1569534412,94,-12.18,136.78,294.15,5.02
Gualeguaychu,36,AR,1569534195,57,-33.01,-58.51,298.71,4.02
Huarmey,53,PE,1569534412,93,-10.07,-78.15,289.543,5.27
Kenai,1,US,1569534369,53,60.55,-151.26,283.15,2.1
Itarema,0,BR,1569534412,71,-2.92,-39.92,298.713,5.4
Puerto del Rosario,75,ES,1569534412,78,28.5,-13.86,297.15,7.2
Terney,0,RU,1569534412,74,45.05,136.61,280.693,3.3
Batsfjord,75,NO,1569534413,86,70.63,29.72,279.15,1.5
Doha,0,QA,1569534413,70,25.29,51.53,306.15,1.5
Lahad Datu,0,MY,1569534413,95,5.02,118.33,294.633,0.49
Tezu,0,IN,1569534413,83,27.93,96.16,292.673,1.21
Bonthe,100,SL,1569534413,93,7.53,-12.5,297.433,3.37
Flinders,20,AU,1569534414,87,-34.58,150.85,289.82,5.1
Byron Bay,90,AU,1569534165,79,-28.65,153.62,292.15,1.82
Airai,0,TL,1569534414,77,-8.93,125.41,292.853,1.82
Cuxhaven,75,DE,1569534414,93,53.87,8.7,289.26,4.1
Erdenet,62,MN,1569534414,82,49.03,104.04,282.633,1.44
Navahrudak,5,BY,1569534415,90,53.59,25.82,281.543,2.46
Denpasar,40,ID,1569534213,94,-8.65,115.22,298.15,3.1
Axim,22,GH,1569534415,91,4.87,-2.24,298.173,4.62
Cochrane,100,CL,1569534415,65,-47.25,-72.57,282.283,0.65
Kurtamysh,100,RU,1569534415,83,54.91,64.43,275.063,2.91
Jardim,0,BR,1569534415,32,-21.48,-56.15,303.483,3.07
Santa Maria,75,BR,1569534416,94,-16.02,-48.01,293.15,1.5
Fukue,75,JP,1569534416,69,35.03,136.69,297.15,2.6
Okhotsk,100,RU,1569534416,47,59.36,143.24,274.723,3.24
Jutai,24,BR,1569534416,73,-1.71,-47.89,300.583,2.01
Maracas,20,TT,1569534416,59,10.76,-61.44,305.15,3.6
Yumen,0,CN,1569534417,18,40.29,97.04,289.553,1.34
Miranda,53,BR,1569534417,33,-20.24,-56.38,304.703,1.58
Sinnamary,20,GF,1569534417,75,5.38,-52.96,301.443,5.22
Cockburn Town,40,TC,1569534417,70,21.46,-71.14,304.15,1.5
Dezhou,0,CN,1569534418,50,37.45,116.31,289.153,1.09
Srivardhan,100,IN,1569534418,87,18.03,73.02,299.123,5.96
Puerto Colombia,75,CO,1569534418,74,10.99,-74.96,302.15,2.1
Zhezkazgan,100,KZ,1569534418,44,47.8,67.71,290.383,3.05
Saint-Joseph,0,FR,1569534418,93,43.56,6.97,292.59,1.0
Neuquen,100,AR,1569534418,26,-38.95,-68.06,298.063,10.14
Raudeberg,75,NO,1569534419,54,61.99,5.14,288.15,9.8
Ketchikan,40,US,1569534215,58,55.34,-131.65,288.15,5.7
Villanueva de Cordoba,0,ES,1569534419,45,38.32,-4.63,293.15,0.5
Muzaffargarh,0,PK,1569534419,70,30.08,71.19,303.15,4.1
Flic en Flac,40,MU,1569534419,88,-20.27,57.36,296.15,3.1
Mendi,100,ET,1569534420,93,9.8,35.1,290.643,1.75
Waipawa,34,NZ,1569534420,88,-39.94,176.59,284.82,4.02
Khandyga,100,RU,1569534420,94,62.65,135.58,276.013,4.33
